claim_id,policy_number,policyholder_name,claim_date,incident_date,incident_type,claim_amount,approved_amount,status,adjuster_name,fraud_flag,fraud_score,region,policy_type,deductible,settlement_date,processing_days
CLM-0001,POL-490463,Customer_0001,2024-08-13,2024-08-09,Liability,135971.12,0,Under Review,Thomas Brown,False,0.21,South,Life,0,,19
CLM-0002,POL-827198,Customer_0002,2025-08-31,2025-08-23,Natural Disaster,120328.17,73597.39,Settled,Lisa Anderson,False,0.21,North,Property,5000,2025-10-11,41
CLM-0003,POL-996972,Customer_0003,2025-04-11,2025-04-05,Theft,17597.94,0,Under Review,Sarah Johnson,False,0.06,East,Auto,500,,10
CLM-0004,POL-965171,Customer_0004,2024-09-23,2024-09-17,Auto Collision,48320.45,0,Denied,Sarah Johnson,True,0.92,Central,Liability,1000,2024-12-15,83
CLM-0005,POL-100656,Customer_0005,2025-06-27,2025-06-26,Theft,17830.02,0,Pending,Maria Garcia,False,0.27,Central,Life,0,,4
CLM-0006,POL-636451,Customer_0006,2025-05-22,2025-05-20,Natural Disaster,104431.99,0,Pending,Aisha Mohammed,False,0.1,Central,Health,250,,25
CLM-0007,POL-672625,Customer_0007,2024-09-12,2024-09-07,Theft,26052.97,0,Pending,Aisha Mohammed,False,0.3,North,Health,250,,21
CLM-0008,POL-464399,Customer_0008,2025-12-05,2025-11-22,Medical Claim,115151.93,84293.46,Settled,David Kim,False,0.15,East,Property,2500,2025-12-20,15
CLM-0009,POL-648936,Customer_0009,2025-03-20,2025-03-07,Natural Disaster,412398.89,0,Denied,David Kim,False,0.19,Central,Property,5000,2025-06-01,73
CLM-0010,POL-135855,Customer_0010,2025-04-01,2025-04-01,Liability,84336.63,0,Under Review,Aisha Mohammed,False,0.18,Central,Life,0,,1
CLM-0011,POL-373676,Customer_0011,2025-02-14,2025-02-07,Natural Disaster,369581.68,0,Under Review,Sarah Johnson,False,0.14,West,Liability,1000,,5
CLM-0012,POL-574842,Customer_0012,2024-11-25,2024-11-18,Natural Disaster,196390.98,152910.05,Settled,Thomas Brown,False,0.03,East,Life,0,2025-02-06,73
CLM-0013,POL-433694,Customer_0013,2024-10-04,2024-10-01,Property Damage,78974.71,0,Denied,Lisa Anderson,False,0.16,East,Auto,1000,2024-11-27,54
CLM-0014,POL-367848,Customer_0014,2024-07-19,2024-07-12,Liability,197778.18,0,Pending,Thomas Brown,False,0.04,Central,Health,250,,21
CLM-0015,POL-733702,Customer_0015,2024-08-18,2024-08-13,Natural Disaster,261921.81,0,Denied,David Kim,True,0.9,Central,Auto,1000,2024-10-26,69
CLM-0016,POL-209690,Customer_0016,2025-01-21,2025-01-18,Liability,92632.93,0,Denied,Sarah Johnson,False,0.17,South,Auto,1000,2025-04-08,77
CLM-0017,POL-945737,Customer_0017,2025-02-16,2025-02-15,Liability,170148.8,0,Denied,Aisha Mohammed,False,0.2,West,Auto,1500,2025-04-22,65
CLM-0018,POL-148695,Customer_0018,2025-05-16,2025-05-12,Natural Disaster,405869.07,0,Denied,James Wilson,False,0.08,South,Health,250,2025-07-07,52
CLM-0019,POL-275729,Customer_0019,2025-11-21,2025-11-19,Natural Disaster,167274.06,0,Under Review,David Kim,False,0.17,South,Health,500,,11
CLM-0020,POL-280031,Customer_0020,2024-12-26,2024-12-25,Fire Damage,360638.21,0,Under Review,Michael Chen,False,0.38,South,Life,0,,21
CLM-0021,POL-162982,Customer_0021,2025-10-06,2025-09-29,Medical Claim,58312.87,36819.49,Approved,James Wilson,False,0.13,East,Life,0,2025-12-26,81
CLM-0022,POL-183689,Customer_0022,2025-11-01,2025-10-31,Liability,184404.68,0,Pending,Lisa Anderson,False,0.31,Central,Life,0,,5
